date,time,volume,open,close,min,max
03/29/2012,16:44:01,182.91,1.32738,1.32709,1.32705,1.32738
03/29/2012,16:45:01,200.05,1.32712,1.32723,1.32711,1.327285
03/29/2012,16:46:01,152.8,1.32723,1.32726,1.32712,1.327295
03/29/2012,16:47:01,124.02,1.327275,1.32709,1.327085,1.327275
03/29/2012,16:48:01,63.63,1.32707,1.32699,1.32699,1.327135
03/29/2012,16:49:01,130.98,1.32701,1.32693,1.326925,1.327115
03/29/2012,16:50:01,120.51,1.32692,1.32683,1.32681,1.32692
03/29/2012,16:51:01,146.01,1.32683,1.326975,1.32683,1.32717
03/29/2012,16:52:01,214.28,1.32696,1.3271,1.326845,1.32714
03/29/2012,16:53:01,132.86,1.3271,1.32702,1.32701,1.3271
03/29/2012,16:54:01,208.19,1.327,1.326835,1.32683,1.327025
03/29/2012,16:55:01,81.66,1.326865,1.326745,1.32672,1.326925
03/29/2012,16:56:01,127.94,1.326745,1.32694,1.32673,1.32694
03/29/2012,16:57:01,112.56,1.326935,1.32731,1.326935,1.32732
03/29/2012,16:58:01,201.15,1.327305,1.327185,1.327125,1.327305
03/29/2012,16:59:01,222.29,1.32719,1.327425,1.32713,1.327535
03/29/2012,17:00:01,311.76,1.327405,1.327095,1.32699,1.327405
03/29/2012,17:01:01,213.87,1.32714,1.32698,1.32694,1.32717
03/29/2012,17:02:01,183.06,1.326985,1.32697,1.326955,1.327145
03/29/2012,17:03:01,168.35,1.326935,1.32663,1.326615,1.326975
03/29/2012,17:04:01,134.2,1.326635,1.32683,1.326635,1.32685
03/29/2012,17:05:01,182.37,1.326815,1.32665,1.326635,1.32685
03/29/2012,17:06:01,120.12,1.32665,1.326715,1.32665,1.326745
03/29/2012,17:07:01,93.12,1.326715,1.326635,1.32662,1.326735
03/29/2012,17:08:01,171.53,1.326625,1.326835,1.32662,1.32685
03/29/2012,17:09:01,100.31,1.326835,1.326605,1.326605,1.32685
03/29/2012,17:10:01,147.08,1.326615,1.32655,1.32655,1.32674
03/29/2012,17:11:01,149.81,1.32654,1.32653,1.32641,1.326655
03/29/2012,17:12:01,121.63,1.32653,1.326725,1.32652,1.32675
03/29/2012,17:13:01,108.39,1.32672,1.32674,1.326695,1.326755
03/29/2012,17:14:01,140.93,1.32674,1.32684,1.326715,1.326845
03/29/2012,17:15:01,88.01,1.32681,1.32673,1.32673,1.326855
03/29/2012,17:16:01,113.84,1.326715,1.326635,1.326565,1.32675
03/29/2012,17:17:01,88.97,1.326635,1.326825,1.32663,1.32685
03/29/2012,17:18:01,115.23,1.32683,1.32683,1.326735,1.326855
03/29/2012,17:19:01,115.12,1.326815,1.32714,1.326735,1.32716
03/29/2012,17:20:01,113.83,1.327135,1.32719,1.32704,1.32719
03/29/2012,17:21:01,239.37,1.32721,1.32759,1.327105,1.327635
03/29/2012,17:22:01,158.5,1.327585,1.327405,1.327295,1.3276
03/29/2012,17:23:01,93.39,1.327405,1.327435,1.327315,1.32748
03/29/2012,17:24:01,114.05,1.327445,1.32736,1.327325,1.32745
03/29/2012,17:25:01,126.91,1.327365,1.32726,1.32722,1.327365
03/29/2012,17:26:01,92.49,1.32726,1.327335,1.327235,1.32737
03/29/2012,17:27:01,78.58,1.32735,1.327425,1.32734,1.32744
03/29/2012,17:28:01,116.93,1.327405,1.32733,1.327315,1.327445
03/29/2012,17:29:01,104.85,1.327315,1.32732,1.32729,1.32735
03/29/2012,17:30:01,74.51,1.327305,1.327345,1.3273,1.32737
03/29/2012,17:31:01,95.86,1.327335,1.3273,1.3273,1.32736
03/29/2012,17:32:01,195.26,1.32731,1.32712,1.327115,1.32735
03/29/2012,17:33:01,90.03,1.32712,1.32713,1.32699,1.32717
03/29/2012,17:34:01,99.83,1.32711,1.32711,1.327075,1.32716
03/29/2012,17:35:01,86.41,1.3271,1.327135,1.32704,1.32714
03/29/2012,17:36:01,118.32,1.327135,1.32745,1.327135,1.32745
03/29/2012,17:37:01,111.16,1.32744,1.327425,1.327425,1.32755
03/29/2012,17:38:01,67.14,1.32744,1.327345,1.327235,1.32744
03/29/2012,17:39:01,78.77,1.32733,1.32743,1.327325,1.32744
03/29/2012,17:40:01,107.06,1.32744,1.327435,1.327395,1.327485
03/29/2012,17:41:01,134.09,1.327425,1.327585,1.32742,1.327685
03/29/2012,17:42:01,153.45,1.3276,1.32755,1.32746,1.32761
03/29/2012,17:43:01,149.48,1.327555,1.32755,1.32745,1.327575
03/29/2012,17:44:01,180.68,1.32755,1.327365,1.327365,1.32758
03/29/2012,17:45:01,190.65,1.327415,1.32744,1.32734,1.32745
03/29/2012,17:46:01,104.15,1.32745,1.327135,1.327115,1.327465
03/29/2012,17:47:01,104.41,1.327135,1.32713,1.327115,1.32728
03/29/2012,17:48:01,98.69,1.327125,1.32713,1.32704,1.327155
03/29/2012,17:49:01,141.92,1.32712,1.327425,1.32712,1.327465
03/29/2012,17:50:01,174.65,1.32741,1.32751,1.3274,1.327555
03/29/2012,17:51:01,203.74,1.327505,1.3277,1.3274,1.32772
03/29/2012,17:52:01,175.18,1.327695,1.32775,1.32763,1.32785
03/29/2012,17:53:01,87.25,1.327735,1.328075,1.3277,1.328075
03/29/2012,17:54:01,165.04,1.32808,1.327915,1.32784,1.32809
03/29/2012,17:55:01,180.3,1.32791,1.328165,1.3279,1.328165
03/29/2012,17:56:01,134.3,1.32815,1.32796,1.32795,1.328155
03/29/2012,17:57:01,152.63,1.327975,1.32788,1.32779,1.32803
03/29/2012,17:58:01,185.56,1.32787,1.327725,1.3277,1.32787
03/29/2012,17:59:01,176.42,1.327735,1.327695,1.32758,1.32776
03/29/2012,18:00:01,132.26,1.32769,1.3277,1.32768,1.32785
03/29/2012,18:01:01,187.5,1.32771,1.328115,1.32771,1.328115
03/29/2012,18:02:01,121.85,1.328125,1.3281,1.32804,1.328145
03/29/2012,18:03:01,171.72,1.32811,1.328025,1.328005,1.32812
03/29/2012,18:04:01,78.32,1.32801,1.32793,1.32791,1.32801
03/29/2012,18:05:01,87.73,1.32793,1.327905,1.32789,1.32802
03/29/2012,18:06:01,58.43,1.3279,1.3279,1.327885,1.327925
03/29/2012,18:07:01,128.79,1.32791,1.327895,1.32772,1.327915
03/29/2012,18:08:01,163.21,1.327905,1.328135,1.3279,1.328205
03/29/2012,18:09:01,59.71,1.328135,1.328095,1.328085,1.32814
03/29/2012,18:10:01,57.77,1.328095,1.32812,1.328075,1.328135
03/29/2012,18:11:01,203.71,1.32811,1.32822,1.32809,1.328225
03/29/2012,18:12:01,173.68,1.32822,1.32805,1.32805,1.328365
03/29/2012,18:13:01,187.58,1.32805,1.327895,1.327775,1.328135
03/29/2012,18:14:01,190.75,1.327895,1.32804,1.32787,1.32814
03/29/2012,18:15:01,147.43,1.32803,1.32793,1.327925,1.328155
03/29/2012,18:16:01,131.72,1.32793,1.32792,1.327835,1.328
03/29/2012,18:17:01,211.15,1.327935,1.328115,1.327935,1.328155
03/29/2012,18:18:01,139.09,1.328135,1.32821,1.328115,1.32827
03/29/2012,18:19:01,164.55,1.328215,1.32811,1.32801,1.328235
03/29/2012,18:20:01,163.74,1.32812,1.328145,1.328115,1.32829
03/29/2012,18:21:01,168.39,1.32815,1.328215,1.32813,1.328255
03/29/2012,18:22:01,122.2,1.328225,1.32814,1.3281,1.328225
03/29/2012,18:23:01,153.35,1.32814,1.3281,1.32799,1.328155
03/29/2012,18:24:01,123.08,1.328115,1.32818,1.328115,1.328255
03/29/2012,18:25:01,95.86,1.3282,1.32805,1.328005,1.3282
03/29/2012,18:26:01,86.06,1.328045,1.328,1.327995,1.328045
03/29/2012,18:27:01,49.5,1.32802,1.328035,1.328,1.32804
03/29/2012,18:28:01,207.98,1.32802,1.32857,1.32797,1.3287
03/29/2012,18:29:01,267.01,1.32861,1.32873,1.328505,1.32884
03/29/2012,18:30:01,182.94,1.32875,1.32873,1.328705,1.32889
03/29/2012,18:31:01,129.38,1.328715,1.32879,1.328645,1.3288
03/29/2012,18:32:01,128.63,1.32877,1.328595,1.32852,1.328835
03/29/2012,18:33:01,139.77,1.328605,1.328495,1.328485,1.328685
03/29/2012,18:34:01,150.85,1.328495,1.32854,1.32842,1.32854
